time,USD,EUR,GBP,JPY,CHF,CAD
2012-09-24,3.5252016776006974,5.073407846388712,6.42780356686771,-22.613109057331926,3.929506140039942,3.657189826434866
2012-09-25,3.526753697503849,5.064942612666879,6.428606935120568,-22.598094523592938,3.9237483490448897,3.654042929256751
2012-09-26,3.538591721906787,5.056660425161816,6.42499317645008,-22.58137304594701,3.9179599522238036,3.6431677702045233
2012-09-27,3.534936195523062,5.056041890346975,6.431460261264004,-22.578350160862566,3.9164438847773955,3.6394679289511314
2012-09-28,3.5349258840599536,5.059051298470514,6.426699895243328,-22.585771127033638,3.919859821942402,3.645234227317441
2012-10-01,3.545339479025412,5.058720155756979,6.418600238436593,-22.592347032514496,3.9210099504705473,3.6486772088249606
2012-10-02,3.540620407444479,5.0729276607103895,6.413685303603766,-22.604671099188145,3.9326995612187914,3.644738166210723
2012-10-03,3.550410406423081,5.082173216389604,6.409148712678898,-22.614250486134345,3.9379616375580766,3.6345565130846884
2012-10-04,3.5403391923726315,5.099025168886537,6.4119782884223335,-22.63581471790014,3.9482109288278435,3.636261139390793
2012-10-05,3.524080384653082,5.110745055117752,6.408222304790181,-22.658424461707288,3.960707275029993,3.6546694421162815
2012-10-08,3.5329884793868658,5.10206147230436,6.381727341517765,-22.64069180157531,3.9554992750817655,3.6684152332845543
2012-10-09,3.5449874770859675,5.084187410744159,6.36931318008461,-22.61657411491454,3.9362449317702106,3.6818411152295925
2012-10-10,3.5546553612631184,5.067944326420537,6.37583646789844,-22.60295098496521,3.9279512920445283,3.676563537338584
2012-10-11,3.550002881342439,5.0730814890341644,6.378094559030521,-22.610824134673138,3.939608333494874,3.6700368717711402
2012-10-12,3.539966850210036,5.089670378152739,6.381004839043648,-22.629560378519507,3.9522000890606606,3.666718222052425
2012-10-15,3.5427797380558474,5.090462302709181,6.385823855563029,-22.640387980394422,3.9550951025672214,3.666226981499144
2012-10-16,3.535960843292724,5.119528124736125,6.391586784255442,-22.664813027239006,3.983049910490929,3.6346873644637867
2012-10-17,3.5206964038264976,5.144370136821859,6.39114701364799,-22.68646293436666,4.002839954647699,3.6274094254226137
2012-10-18,3.5279195881669647,5.143638747911389,6.3851539220744336,-22.702481789091436,4.006000795048519,3.639768735890133
2012-10-19,3.548219342620582,5.142773965807252,6.378607051466356,-22.689842995331514,4.007415059155472,3.61282757628185
2012-10-22,3.5580118343088722,5.1531427831763,6.3834408135035785,-22.702588369030835,4.011872476816814,3.59612046122527
2012-10-23,3.5684198768282336,5.149591086410128,6.379973959327984,-22.71356309357366,4.0041416820458045,3.611436488961508
2012-10-24,3.5736876512112854,5.1328524914572835,6.389938632585773,-22.703779400097382,3.9892914648581757,3.6180091599848665
2012-10-25,3.5721849547999205,5.129916748575064,6.423961093673308,-22.724583117312843,3.988529284611051,3.609991035653497
2012-10-26,3.5768681582219743,5.119013115050601,6.437833331017732,-22.71198241809483,3.9792137268844883,3.5990540869200367
2012-10-29,3.5832085181882154,5.115894777538454,6.424045470267086,-22.68633497790868,3.978786410104973,3.5843998018099477
2012-10-30,3.578973139706384,5.121691579327175,6.419345742531885,-22.684722609631898,3.9874251747327483,3.5772869733336985
2012-10-31,3.5693478837668935,5.13016327648283,6.429950851513986,-22.700835637071243,3.9982244652153547,3.5731491600921803
2012-11-01,3.572152361803763,5.123842346395342,6.443389206239435,-22.718697322029293,3.99744121897669,3.581872188614061
2012-11-02,3.5876777689698023,5.108220532966363,6.435260073126752,-22.727108374704738,3.9832099751948222,3.6127400244469974
2012-11-05,3.6056663680318195,5.089264166203397,6.42513969125061,-22.71245329711401,3.9618114262089508,3.6305716454192303
2012-11-06,3.6050129334019787,5.085717271278707,6.420330948255106,-22.706247225919014,3.9548522725272184,3.6403338004560055
2012-11-07,3.602319123930701,5.081655262518923,6.419908165810871,-22.69864341403397,3.95268193044169,3.642078931331788
2012-11-08,3.608838460958368,5.066850487464309,6.420113407854065,-22.659470231145484,3.9439270018862405,3.619740872982499
2012-11-09,3.6125209509333978,5.061487994634643,6.41195048138793,-22.634531462969104,3.940110784405025,3.608461251608111
2012-11-12,3.6187182393392563,5.059543947799819,6.3966469067954765,-22.633194452067897,3.9386401224332994,3.6196452357000437
2012-11-13,3.6217571753997984,5.054721443382432,6.396193298670578,-22.627820727607908,3.9400104302408074,3.6151383799142933
2012-11-14,3.6236295957494384,5.069942181773181,6.391756890876792,-22.653438852408364,3.9585192198506665,3.609590964158291
2012-11-15,3.6305359860946136,5.091395239598789,6.394321490350757,-22.712626101735793,3.97975897509749,3.616614410594141
2012-11-16,3.6367835207269663,5.093846821402899,6.406122849658499,-22.744592468500663,3.9794018647173397,3.6284374119949616
2012-11-19,3.6304210790490368,5.096882332183877,6.41290413310575,-22.760892179024427,3.981667950801698,3.6390166838840647
2012-11-20,3.625087296407513,5.104371006516859,6.41281765278843,-22.775825963039814,3.9899886632932535,3.6435613440337558
2012-11-21,3.6310446874729,5.11325791729044,6.425508716207855,-22.816561797526596,3.9984875112578484,3.648262965297552
2012-11-22,3.6260899938540008,5.133888908827964,6.42676279998889,-22.850826435152513,4.019147231481891,3.6449375009997693
2012-11-23,3.6087680910540674,5.149702805326034,6.422259508161674,-22.85510597000951,4.035601084763817,3.6387744807039164
2012-11-26,3.5953977853964427,5.158167256336414,6.424468034972066,-22.860461050841245,4.045446078453187,3.6369818956831352
2012-11-27,3.5954250645623698,5.153000545280065,6.4259213048257395,-22.851257203392702,4.0398991493767,3.6370111393478277
